index,minimax_actions,cnn_actions,minimax_score,cnn_score,winner,final_score
0,0,136,31,18,1,-13
1,0,163,22,27,2,5
2,0,111,24,25,2,1
3,0,121,13,32,2,19
4,0,91,16,36,2,20
5,0,135,24,31,2,7
6,0,182,21,32,2,11
7,0,117,32,24,1,-8
8,0,91,17,29,2,12
9,0,138,29,26,1,-3
10,0,110,24,32,2,8
11,0,146,26,30,2,4
12,0,178,28,25,1,-3
13,0,125,32,23,1,-9
14,0,104,20,36,2,16
15,0,113,29,27,1,-2
16,0,122,26,29,2,3
17,0,120,32,19,1,-13
18,0,142,17,24,2,7
19,0,156,29,24,1,-5
20,0,90,31,14,1,-17
21,0,166,31,21,1,-10
22,0,95,26,26,0,0
23,0,163,24,29,2,5
24,0,141,18,34,2,16
25,0,85,10,37,2,27
26,0,98,25,24,1,-1
27,0,149,19,35,2,16
28,0,128,28,26,1,-2
29,0,107,34,17,1,-17
30,0,90,19,26,2,7
31,0,139,26,25,1,-1
32,0,172,34,21,1,-13
33,0,168,31,22,1,-9
34,0,162,33,20,1,-13
35,0,153,16,38,2,22
36,0,103,37,18,1,-19
37,0,151,19,35,2,16
38,0,115,27,26,1,-1
39,0,173,35,21,1,-14
40,0,161,18,34,2,16
41,0,102,30,16,1,-14
42,0,7,7,7,0,0
43,0,115,34,22,1,-12
44,0,206,20,29,2,9
45,0,91,9,24,2,15
46,0,128,31,22,1,-9
47,0,72,9,31,2,22
48,0,164,26,25,1,-1
49,0,155,31,22,1,-9
50,0,86,13,39,2,26
51,0,134,18,21,2,3
52,0,135,15,36,2,21
53,0,46,7,14,2,7
54,0,184,45,10,1,-35
55,0,178,16,33,2,17
56,0,127,22,29,2,7
57,0,155,15,41,2,26
58,0,123,29,23,1,-6
59,0,98,13,22,2,9
60,0,93,6,35,2,29
61,0,129,16,27,2,11
62,0,192,31,23,1,-8
63,0,184,26,27,2,1
64,0,113,24,29,2,5
65,0,166,36,20,1,-16
66,0,116,16,35,2,19
67,0,128,21,28,2,7
68,0,121,17,37,2,20
69,0,123,24,27,2,3
70,0,133,25,28,2,3
71,0,186,26,23,1,-3
72,0,126,30,17,1,-13
73,0,148,20,23,2,3
74,0,197,26,30,2,4
75,0,98,13,37,2,24
76,0,146,26,22,1,-4
77,0,112,36,19,1,-17
78,0,103,16,33,2,17
79,0,91,20,27,2,7
80,0,121,21,28,2,7
81,0,92,16,36,2,20
82,0,108,22,31,2,9
83,0,168,18,29,2,11
84,0,110,23,25,2,2
85,0,109,16,17,2,1
86,0,146,18,33,2,15
87,0,136,20,33,2,13
88,0,143,13,39,2,26
89,0,99,7,36,2,29
90,0,141,41,14,1,-27
91,0,109,20,33,2,13
92,0,94,11,18,2,7
93,0,150,17,35,2,18
94,0,66,16,15,1,-1
95,0,83,20,20,0,0
96,0,187,19,30,2,11
97,0,152,22,23,2,1
98,0,52,6,23,2,17
99,0,63,2,28,2,26
