index,minimax_actions,cnn_actions,minimax_score,cnn_score,winner,final_score
0,0,215,40,31,1,-9
1,0,203,28,43,2,15
2,0,250,45,20,1,-25
3,0,221,36,34,1,-2
4,0,183,29,26,1,-3
5,0,216,19,50,2,31
6,0,187,24,37,2,13
7,0,35,1,25,2,24
8,0,214,27,40,2,13
9,0,268,42,29,1,-13
10,0,249,20,41,2,21
11,0,196,49,16,1,-33
12,0,203,13,51,2,38
13,0,339,32,35,2,3
14,0,240,32,33,2,1
15,0,199,32,39,2,7
16,0,263,45,26,1,-19
17,0,256,24,43,2,19
18,0,211,34,38,2,4
19,0,276,31,34,2,3
20,0,16,3,11,2,8
21,0,264,27,42,2,15
22,0,147,26,23,1,-3
23,0,212,20,35,2,15
24,0,93,13,24,2,11
25,0,298,32,37,2,5
26,0,258,14,43,2,29
27,0,175,42,27,1,-15
28,0,228,38,25,1,-13
29,0,119,21,32,2,11
30,0,192,18,45,2,27
31,0,235,24,35,2,11
32,0,186,35,36,2,1
33,0,156,24,45,2,21
34,0,243,37,32,1,-5
35,0,260,45,24,1,-21
36,0,186,38,29,1,-9
37,0,54,0,22,2,22
38,0,233,36,35,1,-1
39,0,266,40,21,1,-19
40,0,228,17,51,2,34
41,0,201,30,40,2,10
42,0,215,32,35,2,3
43,0,172,32,38,2,6
44,0,232,46,25,1,-21
45,0,225,24,37,2,13
46,0,75,1,31,2,30
47,0,229,30,29,1,-1
48,0,180,23,42,2,19
49,0,194,12,35,2,23
50,0,161,26,44,2,18
51,0,160,28,41,2,13
52,0,205,18,50,2,32
53,0,243,31,38,2,7
54,0,149,41,28,1,-13
55,0,253,48,21,1,-27
56,0,270,45,27,1,-18
57,0,180,18,37,2,19
58,0,155,14,35,2,21
59,0,83,8,33,2,25
60,0,246,23,40,2,17
61,0,328,33,28,1,-5
62,0,193,18,37,2,19
63,0,167,36,35,1,-1
64,0,69,0,30,2,30
65,0,183,40,27,1,-13
66,0,77,9,24,2,15
67,0,167,19,34,2,15
68,0,24,7,6,1,-1
69,0,198,47,22,1,-25
70,0,255,32,29,1,-3
71,0,263,37,34,1,-3
72,0,161,15,51,2,36
73,0,254,44,25,1,-19
74,0,125,41,25,1,-16
75,0,200,27,44,2,17
76,0,218,33,36,2,3
77,0,255,33,34,2,1
78,0,263,40,27,1,-13
79,0,236,44,19,1,-25
80,0,104,5,39,2,34
81,0,115,27,27,0,0
82,0,205,25,28,2,3
83,0,265,35,28,1,-7
84,0,247,11,42,2,31
85,0,164,24,37,2,13
86,0,66,15,14,1,-1
87,0,179,41,22,1,-19
88,0,244,21,49,2,28
89,0,314,30,39,2,9
90,0,223,39,26,1,-13
91,0,254,38,31,1,-7
92,0,232,28,27,1,-1
93,0,185,30,33,2,3
94,0,50,11,23,2,12
95,0,221,36,33,1,-3
96,0,185,28,40,2,12
97,0,178,31,40,2,9
98,0,198,24,41,2,17
99,0,215,30,38,2,8
