index,minimax_actions,cnn_actions,minimax_score,cnn_score,winner,final_score
0,0,288,15,56,2,41
1,0,188,21,34,2,13
2,0,278,41,48,2,7
3,0,387,43,32,1,-11
4,0,394,28,57,2,29
5,0,307,48,41,1,-7
6,0,328,50,40,1,-10
7,0,385,30,49,2,19
8,0,379,40,35,1,-5
9,0,119,6,31,2,25
10,0,341,38,49,2,11
11,0,469,53,36,1,-17
12,0,341,22,55,2,33
13,0,400,28,47,2,19
14,0,322,19,50,2,31
15,0,70,4,23,2,19
16,0,490,38,43,2,5
17,0,337,24,49,2,25
18,0,373,21,58,2,37
19,0,294,26,56,2,30
20,0,294,18,51,2,33
21,0,353,51,32,1,-19
22,0,52,0,30,2,30
23,0,308,33,42,2,9
24,0,364,57,30,1,-27
25,0,272,41,46,2,5
26,0,189,37,32,1,-5
27,0,432,42,47,2,5
28,0,281,25,42,2,17
29,0,316,41,34,1,-7
30,0,65,9,24,2,15
31,0,293,35,54,2,19
32,0,216,10,45,2,35
33,0,374,30,47,2,17
34,0,287,52,38,1,-14
35,0,174,21,63,2,42
36,0,327,30,41,2,11
37,0,62,0,24,2,24
38,0,314,26,53,2,27
39,0,417,37,50,2,13
40,0,385,36,47,2,11
41,0,195,23,46,2,23
42,0,382,36,51,2,15
43,0,339,34,55,2,21
44,0,179,5,61,2,56
45,0,255,27,46,2,19
46,0,291,31,58,2,27
47,0,213,23,65,2,42
48,0,302,46,44,1,-2
49,0,292,35,36,2,1
50,0,297,25,65,2,40
51,0,386,40,47,2,7
52,0,264,39,51,2,12
53,0,445,28,55,2,27
54,0,315,38,49,2,11
55,0,252,39,49,2,10
56,0,366,29,48,2,19
57,0,189,11,40,2,29
58,0,103,13,38,2,25
59,0,401,32,49,2,17
60,0,354,19,68,2,49
61,0,227,30,37,2,7
62,0,180,15,40,2,25
63,0,450,27,61,2,34
64,0,371,31,50,2,19
65,0,178,10,35,2,25
66,0,335,28,55,2,27
67,0,241,22,64,2,42
68,0,170,35,53,2,18
69,0,354,47,36,1,-11
70,0,131,7,34,2,27
71,0,176,12,27,2,15
72,0,343,37,53,2,16
73,0,308,56,31,1,-25
74,0,328,39,46,2,7
75,0,69,6,23,2,17
76,0,156,31,35,2,4
77,0,333,43,44,2,1
78,0,457,56,33,1,-23
79,0,79,0,24,2,24
80,0,488,43,46,2,3
81,0,333,24,51,2,27
82,0,334,51,39,1,-12
83,0,263,30,53,2,23
84,0,331,41,48,2,7
85,0,266,24,59,2,35
86,0,363,30,37,2,7
87,0,269,24,55,2,31
88,0,338,37,48,2,11
89,0,346,31,57,2,26
90,0,305,31,46,2,15
91,0,283,33,50,2,17
92,0,227,16,29,2,13
93,0,391,23,42,2,19
94,0,274,27,32,2,5
95,0,294,24,57,2,33
96,0,210,35,55,2,20
97,0,373,39,46,2,7
98,0,259,20,41,2,21
99,0,391,49,39,1,-10
