index,minimax_actions,cnn_actions,minimax_score,cnn_score,winner,final_score
0,0,472,32,57,2,25
1,0,41,0,20,2,20
2,0,746,70,55,1,-15
3,0,585,16,100,2,84
4,0,654,77,44,1,-33
5,0,107,1,35,2,34
6,0,622,54,67,2,13
7,0,597,54,65,2,11
8,0,663,55,76,2,21
9,0,494,23,72,2,49
10,0,69,0,22,2,22
11,0,681,60,49,1,-11
12,0,499,22,59,2,37
13,0,839,64,68,2,4
14,0,603,47,78,2,31
15,0,1007,60,71,2,11
16,0,680,46,69,2,23
17,0,43,6,13,2,7
18,0,80,0,22,2,22
19,0,606,59,66,2,7
20,0,57,0,22,2,22
21,0,193,4,43,2,39
22,0,762,62,57,1,-5
23,0,345,12,77,2,65
24,0,748,61,70,2,9
25,0,570,37,58,2,21
26,0,733,38,65,2,27
27,0,858,36,69,2,33
28,0,799,54,71,2,17
29,0,752,65,67,2,2
30,0,822,61,56,1,-5
31,0,240,22,45,2,23
32,0,640,58,65,2,7
33,0,674,50,57,2,7
34,0,771,39,76,2,37
35,0,731,67,62,1,-5
36,0,444,35,64,2,29
37,0,821,47,58,2,11
38,0,59,10,23,2,13
39,0,748,51,68,2,17
40,0,486,17,96,2,79
41,0,719,45,68,2,23
42,0,485,15,78,2,63
43,0,761,52,75,2,23
44,0,657,45,72,2,27
45,0,540,32,93,2,61
46,0,116,0,36,2,36
47,0,166,0,40,2,40
48,0,658,24,61,2,37
49,0,74,2,26,2,24
50,0,79,0,28,2,28
51,0,100,0,38,2,38
52,0,396,10,57,2,47
53,0,738,39,68,2,29
54,0,456,16,67,2,51
55,0,728,41,68,2,27
56,0,837,49,70,2,21
57,0,491,28,65,2,37
58,0,760,84,48,1,-36
59,0,797,29,74,2,45
60,0,536,19,90,2,71
61,0,110,0,30,2,30
62,0,653,71,46,1,-25
63,0,608,29,78,2,49
64,0,778,35,82,2,47
65,0,678,83,44,1,-39
66,0,65,0,22,2,22
67,0,811,90,42,1,-48
68,0,644,40,69,2,29
69,0,279,7,63,2,56
70,0,94,10,25,2,15
71,0,55,0,26,2,26
72,0,938,80,52,1,-28
73,0,707,49,64,2,15
74,0,256,0,52,2,52
75,0,102,0,36,2,36
76,0,713,64,47,1,-17
77,0,380,14,51,2,37
78,0,212,15,46,2,31
79,0,680,83,46,1,-37
80,0,678,83,48,1,-35
81,0,471,45,75,2,30
82,0,822,49,79,2,30
83,0,764,39,82,2,43
84,0,533,36,63,2,27
85,0,633,67,65,1,-2
86,0,852,68,63,1,-5
87,0,832,36,81,2,45
88,0,806,43,80,2,37
89,0,349,2,94,2,92
90,0,607,42,65,2,23
91,0,617,41,66,2,25
92,0,457,9,62,2,53
93,0,710,64,64,0,0
94,0,710,34,83,2,49
95,0,707,64,67,2,3
96,0,697,41,62,2,21
97,0,770,64,63,1,-1
98,0,755,61,56,1,-5
99,0,730,71,61,1,-10
